song,performer,track_duration_s,danceability,valence,date,rank,peak_rank,weeks_on_board,key_sign,energy,loudness,speechiness,acousticness,instrumentalness,liveness
(Theme From) Any Number Can Win,Jimmy Smith,131.573,0.689,0.963,20191102,96,96,1,C major,0.89,-6.274,0.03,0.655,0.883,0.368
(Theme from) My Three Sons,Lawrence Welk And His Orchestra,122.6,0.365,0.954,20190424,57,55,6,C major,0.796,-5.441,0.0352,0.304,0.936,0.0562
(Theme From) Valley Of The Dolls,Dionne Warwick,218.84,0.23,0.0868,20190224,2,2,6,F major,0.273,-13.277,0.0352,0.871,2.21e-06,0.059
(There's Gotta Be) More To Life,Stacie Orrico,200.386,0.58,0.649,20200117,56,30,18,C# major,0.922,-3.785,0.0958,0.0917,0.0,0.189
(There's No Place Like) Home For The Holidays,Perry Como,171.333,0.69,0.735,20200105,32,32,2,C major,0.189,-12.797,0.0316,0.897,0.0,0.133
(There's) Always Something There To Remind Me,Dionne Warwick,179.506,0.68,0.821,20190928,67,65,5,F major,0.328,-13.69,0.0673,0.737,0.0,0.581
(There's) Always Something There To Remind Me,Dionne Warwick,179.506,0.68,0.821,20190928,67,65,5,F major,0.469,-8.163,0.0621,0.472,0.0,0.0742
(There's) Always Something There To Remind Me,Dionne Warwick,179.506,0.68,0.821,20190928,67,65,5,F major,0.395,-8.553,0.0449,0.747,0.0,0.0696
(There's) No Gettin' Over Me,Ronnie Milsap,199.68,0.595,0.787,20190808,11,11,7,C# minor,0.447,-10.342,0.0323,0.627,0.000586,0.3
(There Was A) Tall Oak Tree,Dorsey Burnette,125.946,0.602,0.719,20190404,37,23,10,G major,0.411,-10.841,0.0558,0.463,0.0,0.235
(They Long To Be) Close To You,Carpenters,276.0,0.533,0.236,20190711,7,7,4,G# major,0.245,-14.652,0.0326,0.707,4.21e-05,0.122
(They Long To Be) Close To You,Carpenters,276.0,0.533,0.236,20190711,7,7,4,G# major,0.202,-16.412,0.0366,0.759,0.00017,0.28
(Today I Met) The Boy I'm Gonna Marry,Darlene Love,166.053,0.353,0.608,20190413,83,83,2,C# minor,0.703,-5.847,0.0583,0.54,0.0641,0.91
(Want You) Back In My Life Again,Carpenters,220.506,0.802,0.852,20191003,78,78,4,D minor,0.539,-12.488,0.0356,0.103,1.18e-05,0.0699
(We'll Be) United,The Intruders,171.133,0.463,0.365,20190730,95,95,3,C major,0.493,-7.63,0.0249,0.363,0.0,0.567
(We've Got) Honey Love,Martha Reeves & The Vandellas,149.133,0.718,0.649,20190524,68,56,6,C# major,0.652,-7.51,0.154,0.492,0.000135,0.152
(We Ain't Got) Nothin' Yet,Blues Magoos,135.746,0.417,0.858,20190128,10,10,8,A# major,0.876,-8.112,0.0499,0.584,0.0,0.1
(Welcome) New Lovers,Pat Boone,135.735,0.582,0.837,20190328,22,18,6,G# major,0.438,-16.499,0.0388,0.927,0.762,0.511
(What A Sad Way) To Love Someone,Ral Donner,179.957,0.61,0.539,20190421,79,79,5,D# major,0.232,-17.007,0.0287,0.86,7.21e-05,0.106
(what) In The Name Of Love,Naked Eyes,267.066,0.705,0.833,20190818,62,62,2,E minor,0.751,-12.224,0.0385,0.0646,0.000172,0.0881
(Where Do I Begin) Love Story,Andy Williams,189.066,0.259,0.232,20190424,20,9,12,F# major,0.473,-10.187,0.0324,0.512,1.5e-06,0.4
(Wish I Could Fly Like) Superman,The Kinks,214.733,0.772,0.96,20190512,66,66,3,C# minor,0.669,-11.239,0.0444,0.0373,2.05e-05,0.0854
(You're Gonna) Hurt Yourself,Frankie Valli,152.293,0.669,0.659,20190122,67,67,2,A# major,0.581,-6.929,0.0616,0.511,0.0,0.222
(You're My One And Only) True Love,Seduction,230.266,0.665,0.672,20190923,27,27,12,A# minor,0.64,-12.175,0.052,0.0166,0.00167,0.0636
(You're My) Soul And Inspiration,Donny & Marie Osmond,194.88,0.271,0.662,20191203,68,68,3,D major,0.768,-4.132,0.0514,0.389,6.58e-05,0.105
(You're My) Soul And Inspiration,Donny & Marie Osmond,194.88,0.271,0.662,20191203,68,68,3,D major,0.433,-12.048,0.0467,0.732,1.04e-06,0.227
(You're Puttin') A Rush On Me,Stephanie Mills,352.933,0.751,0.475,20191010,85,85,1,E minor,0.625,-11.256,0.055,0.0267,0.00702,0.0545
"(you're So Square) Baby, I Don't Care",Joni Mitchell,158.0,0.399,0.594,20190115,96,47,9,G major,0.62,-12.266,0.0427,0.194,0.00428,0.325
(You've Got To) Move Two Mountains,Marv Johnson,165.933,0.735,0.96,20191017,20,20,7,A# major,0.724,-7.91,0.0494,0.686,3.35e-05,0.126
(You've Got) Personality And Chantilly Lace,Mitch Ryder,223.133,0.529,0.784,20190210,87,87,2,F major,0.88,-8.782,0.0823,0.0883,0.000394,0.342
(You Can't Let The Boy Overpower) The Man In You,Chuck Jackson,186.146,0.693,0.8,20190309,94,94,1,A# minor,0.398,-15.016,0.0436,0.0234,0.0,0.297
(You Can't Let The Boy Overpower) The Man In You,Chuck Jackson,186.146,0.693,0.8,20190309,94,94,1,A# minor,0.518,-8.026,0.0403,0.422,0.0,0.192
(You Can Still) Rock In America,Night Ranger,255.16,0.382,0.619,20191203,83,83,1,B minor,0.772,-12.687,0.0544,0.000397,7.62e-05,0.166
(You Don't Have To) Paint Me A Picture,Gary Lewis And The Playboys,136.44,0.696,0.963,20191112,24,15,6,G major,0.416,-9.518,0.0361,0.515,0.0,0.0407
(You Don't Know) How Glad I Am,Nancy Wilson,157.386,0.326,0.622,20190808,14,14,7,F major,0.441,-9.117,0.0479,0.737,9.69e-06,0.328
(You Drive Me) Crazy,Britney Spears,198.066,0.748,0.96,20191002,34,34,3,C minor,0.939,-4.288,0.0341,0.0534,0.0,0.32
(You Gotta) Fight For Your Right (To Party!),Beastie Boys,210.973,0.69,0.749,20190131,32,32,7,G# major,0.862,-4.242,0.0324,0.0394,0.000316,0.101
(You Keep Me) Hangin' On,Joe Simon,164.826,0.59,0.639,20190525,41,41,7,G major,0.374,-13.498,0.0248,0.389,0.0,0.0757
(You Make Me Feel) So Good,The McCoys,161.56,0.798,0.854,20190806,59,59,2,E major,0.647,-10.997,0.0459,0.0366,0.051,0.168
(You Want To) Make A Memory,Bon Jovi,276.453,0.496,0.208,20200714,55,27,9,C major,0.44,-7.355,0.0263,0.117,0.000111,0.12
(You Were Made For) All My Love,Jackie Wilson,125.866,0.321,0.411,20190905,19,12,9,D major,0.468,-4.934,0.0317,0.898,8.29e-06,0.113
(your Love Has Lifted Me) Higher And Higher,Rita Coolidge,241.72,0.656,0.75,20190604,43,43,5,A# minor,0.646,-9.169,0.0336,0.0575,0.00464,0.16
(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,181.066,0.631,0.938,20191028,30,6,12,D major,0.69,-6.676,0.0531,0.176,0.0,0.121
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,234.413,0.639,0.457,20201018,85,81,6,G# major,0.659,-7.273,0.215,0.241,8.33e-06,0.484
......And Roses And Roses,Andy Williams,166.106,0.154,0.15,20190424,40,40,4,F major,0.185,-14.063,0.0315,0.911,0.000267,0.112
...And Then There Were Drums,Sandy Nelson,172.066,0.588,0.801,20190929,71,71,2,B minor,0.672,-17.278,0.0361,0.00256,0.745,0.145
...Baby One More Time,Britney Spears,211.066,0.759,0.907,20191205,18,14,3,C minor,0.699,-5.745,0.0307,0.202,0.000131,0.443
...Ready For It?,Taylor Swift,208.186,0.613,0.417,20201014,39,4,4,D major,0.764,-6.509,0.136,0.0527,0.0,0.197
@ MEH,Playboi Carti,166.799,0.876,0.4,20200502,35,35,1,B minor,0.492,-8.11,0.153,0.0136,0.000283,0.0678
0 To 100 / The Catch Up,Drake,275.226,0.707,0.501,20201108,41,35,14,B minor,0.709,-3.979,0.34,0.763,0.0,0.274
